OrderID,CustomerID,ManagerID,Quantity,Price,Freight,OrderDate,ShippedDate
1,GQ09,man30,57,20.9,12.78,2021-10-30,2022-01-18
2,TQ08,man57,23,76.33,22.38,2021-11-02,2022-01-04
3,FX24,man71,76,20.84,16.75,2021-10-24,2022-01-18
4,IW39,man18,11,93.99,22.63,2021-11-03,2022-01-09
5,BO75,man14,92,37.62,15.13,2021-11-04,2022-01-17
6,US89,man32,53,25.84,13.73,2021-10-22,2021-12-26
7,VY62,man75,98,33.91,27.7,2021-11-11,2021-12-23
8,SO90,man33,78,28.86,28.1,2021-11-15,2021-12-30
9,SE76,man21,76,20.54,11.67,2021-11-12,2021-12-22
10,AM23,man14,87,91.75,25.81,2021-12-08,2022-01-12
11,BF67,man25,65,47.04,29.43,2021-12-17,2022-01-04
12,VP67,man82,97,91.8,18.55,2021-11-08,2021-12-21
13,JH10,man94,95,92.98,29.74,2021-11-13,2022-01-04
14,ZK47,man21,47,72.49,27.61,2021-12-09,2022-01-05
15,ZI11,man25,48,82.03,26.33,2021-11-18,2022-01-01
16,LD20,man36,24,44.32,10.2,2021-11-03,2022-01-18
17,FG77,man46,72,23.56,10.87,2021-12-01,2021-12-30
18,HO62,man57,36,87.41,29.1,2021-11-26,2022-01-17
19,BZ10,man63,85,53.26,18.96,2021-11-11,2022-01-04
20,FP14,man71,74,81.05,17.46,2021-11-12,2021-12-31
21,SN56,man14,48,60.84,14.45,2021-11-11,2021-12-23
22,FP17,man27,23,41.88,23.89,2021-11-06,2022-01-15
23,HB30,man52,91,62.57,21.85,2021-12-19,2022-01-02
24,ZW10,man72,80,54.26,16.68,2021-11-04,2021-12-31
25,TC39,man52,12,45.65,21.44,2021-12-04,2021-12-28
26,SC83,man75,87,79.47,22.76,2021-10-24,2022-01-05
27,PD39,man18,98,73.73,28.83,2021-12-19,2022-01-14
28,AG66,man29,46,71.95,22.56,2021-11-09,2021-12-30
29,FI08,man76,80,85.64,24.49,2021-11-27,2022-01-20
30,FO50,man20,44,77.35,15.24,2021-12-03,2022-01-05
31,RE18,man57,32,65.86,13.96,2021-11-09,2022-01-18
32,AY16,man82,40,46.31,29.23,2021-12-16,2022-01-19
33,WT52,man18,90,46.43,29.01,2021-12-21,2021-12-27
34,JN73,man36,100,50.59,18.41,2021-12-08,2022-01-09
35,VV81,man89,47,43.86,29.62,2021-10-28,2021-12-31
36,XA29,man62,28,81.49,11.84,2021-11-03,2022-01-04
37,CU45,man16,73,58.78,21.52,2021-11-15,2021-12-25
38,GQ16,man37,26,22.99,20.41,2021-12-07,2021-12-23
39,ZW28,man53,41,77.74,13.73,2021-11-10,2022-01-16
40,AJ53,man23,2,73.5,23.59,2021-11-24,2021-12-29
41,OH87,man21,34,33.1,21.14,2021-10-26,2022-01-01
42,IU29,man99,74,65.78,25.65,2021-11-15,2022-01-15
43,YX66,man04,60,85.4,24.95,2021-12-12,2021-12-30
44,YP60,man08,100,93.87,15.44,2021-12-20,2022-01-09
45,TU87,man62,20,53.77,17.61,2021-10-31,2022-01-12
46,KO80,man71,71,77.63,23.3,2021-11-15,2021-12-25
47,YJ04,man93,92,58.75,14.23,2021-11-17,2022-01-19
48,TL55,man13,43,33.19,11.63,2021-10-28,2022-01-10
49,CQ88,man21,12,30.98,24.1,2021-11-12,2022-01-16
50,PB69,man08,4,84.0,26.96,2021-12-20,2022-01-09
51,HM95,man69,30,69.27,19.16,2021-11-05,2022-01-01
52,XQ84,man96,82,61.72,20.92,2021-11-01,2021-12-22
53,UE04,man58,54,63.12,21.57,2021-11-29,2022-01-06
54,LR16,man79,60,41.85,23.17,2021-11-04,2022-01-18
55,ND20,man98,96,55.63,15.79,2021-12-16,2021-12-22
56,ES85,man18,64,78.81,27.25,2021-11-24,2021-12-21
57,ZW38,man53,11,89.24,25.7,2021-12-10,2022-01-12
58,QL55,man65,52,22.76,15.29,2021-12-10,2021-12-28
59,DX03,man51,88,23.57,22.97,2021-12-15,2022-01-06
60,WE76,man60,69,49.46,11.09,2021-12-04,2022-01-20
61,WJ34,man72,88,32.27,15.61,2021-12-19,2021-12-26
62,YR37,man64,38,90.34,26.5,2021-12-10,2021-12-22
63,AX55,man02,96,23.3,16.85,2021-11-19,2022-01-04
64,WH62,man28,1,24.22,17.51,2021-12-19,2022-01-19
65,BR00,man33,3,34.73,22.49,2021-11-23,2022-01-11
66,JT16,man04,61,74.5,19.54,2021-11-02,2021-12-21
